"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Dec 23 10:54:35 WAT 2023","Sat Dec 23 10:54:36 WAT 2023","180","Contact management","Contacts","","","","Update multiple contacts",""
"passed","Sat Dec 23 11:02:04 WAT 2023","Sat Dec 23 11:02:05 WAT 2023","170","Sales CRM","Deals","","","","Get all deals",""
"failed","Sat Dec 23 10:58:14 WAT 2023","Sat Dec 23 10:58:14 WAT 2023","166","Conversations","Messages","","","","Send a message as an agent",""
"passed","Sat Dec 23 11:01:46 WAT 2023","Sat Dec 23 11:01:46 WAT 2023","163","Marketing","Email Campaigns","","","","Update an email campaign",""
"passed","Sat Dec 23 10:58:10 WAT 2023","Sat Dec 23 10:58:10 WAT 2023","163","Sales CRM","Deals","","","","Get deal attributes",""
"passed","Sat Dec 23 10:53:54 WAT 2023","Sat Dec 23 10:53:54 WAT 2023","351","eCommerce","Products","","","","Get a product's details",""
"failed","Sat Dec 23 11:02:11 WAT 2023","Sat Dec 23 11:02:12 WAT 2023","167","eCommerce","","","","","Activate eCommerce platform on your account",""
"failed","Sat Dec 23 10:54:28 WAT 2023","Sat Dec 23 10:54:29 WAT 2023","161","Transactional","Inbound Email Parsing","","","","Get the list of all the events for the received emails.",""
"passed","Sat Dec 23 10:57:57 WAT 2023","Sat Dec 23 10:57:57 WAT 2023","331","Contact management","Folders","","","","Get lists in a folder",""
"passed","Sat Dec 23 10:53:22 WAT 2023","Sat Dec 23 10:53:22 WAT 2023","150","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"passed","Sat Dec 23 11:01:51 WAT 2023","Sat Dec 23 11:01:51 WAT 2023","164","Contact management","Contacts","","","","Get all the contacts",""
"passed","Sat Dec 23 11:02:04 WAT 2023","Sat Dec 23 11:02:04 WAT 2023","181","Sales CRM","Companies","","","","Update a company",""
"failed","Sat Dec 23 10:57:46 WAT 2023","Sat Dec 23 10:57:46 WAT 2023","189","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"failed","Sat Dec 23 10:57:46 WAT 2023","Sat Dec 23 10:57:46 WAT 2023","171","Transactional","Inbound Email Parsing","","","","Fetch all events history for one particular received email.",""
"failed","Sat Dec 23 10:54:53 WAT 2023","Sat Dec 23 10:54:53 WAT 2023","156","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes",""
"failed","Sat Dec 23 10:57:46 WAT 2023","Sat Dec 23 10:57:47 WAT 2023","169","Transactional","SMS statistics","","","","Get your SMS activity aggregated per day",""
"passed","Sat Dec 23 10:53:39 WAT 2023","Sat Dec 23 10:53:39 WAT 2023","169","Accounts and settings","Reseller","Child accounts","","","Get the status of a reseller's child account creation, whether it is successfully created (exists) or not based on the childIdentifier supplied",""
"failed","Sat Dec 23 10:54:31 WAT 2023","Sat Dec 23 10:54:31 WAT 2023","169","Marketing","Email Campaigns","","","","Delete an email campaign",""
"passed","Sat Dec 23 10:53:44 WAT 2023","Sat Dec 23 10:53:44 WAT 2023","159","Sales CRM","Companies","","","","Get company attributes",""
"passed","Sat Dec 23 10:53:30 WAT 2023","Sat Dec 23 10:53:30 WAT 2023","165","Contact management","Contacts","","","","Get all the contacts",""
"failed","Sat Dec 23 10:53:24 WAT 2023","Sat Dec 23 10:53:24 WAT 2023","165","Transactional","Inbound Email Parsing","","","","Fetch all events history for one particular received email.",""
"passed","Sat Dec 23 11:02:08 WAT 2023","Sat Dec 23 11:02:08 WAT 2023","161","Sales CRM","Files","","","","Delete a file",""
"passed","Sat Dec 23 10:56:38 WAT 2023","Sat Dec 23 10:56:38 WAT 2023","166","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"passed","Sat Dec 23 10:53:22 WAT 2023","Sat Dec 23 10:53:22 WAT 2023","539","Transactional","Statistics","","","","Get all your transactional email activity (unaggregated events)",""
"passed","Sat Dec 23 10:54:26 WAT 2023","Sat Dec 23 10:54:26 WAT 2023","149","Transactional","Templates","","","","Delete an inactive email template",""
"failed","Sat Dec 23 11:01:40 WAT 2023","Sat Dec 23 11:01:41 WAT 2023","170","Transactional","Email API","","","","Get the list of transactional emails on the basis of allowed filters",""
"failed","Sat Dec 23 10:53:21 WAT 2023","Sat Dec 23 10:53:22 WAT 2023","169","Transactional","Statistics","","","","Get your transactional email activity aggregated per day",""
"passed","Sat Dec 23 11:01:56 WAT 2023","Sat Dec 23 11:01:56 WAT 2023","155","Accounts and settings","Webhooks","","","","Update a webhook",""
"failed","Sat Dec 23 11:01:53 WAT 2023","Sat Dec 23 11:01:53 WAT 2023","196","Contact management","Folders","","","","Create a folder",""
"passed","Sat Dec 23 11:01:53 WAT 2023","Sat Dec 23 11:01:54 WAT 2023","160","Contact management","Folders","","","","Get lists in a folder",""
"passed","Sat Dec 23 11:01:42 WAT 2023","Sat Dec 23 11:01:42 WAT 2023","164","Transactional","Templates","","","","Delete an inactive email template",""
"passed","Sat Dec 23 10:56:45 WAT 2023","Sat Dec 23 10:56:45 WAT 2023","217","Accounts and settings","Reseller","Domains","","","Update the sender domain of reseller's child based on the childIdentifier and domainName passed",""
"passed","Sat Dec 23 10:53:32 WAT 2023","Sat Dec 23 10:53:33 WAT 2023","351","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"failed","Sat Dec 23 10:54:27 WAT 2023","Sat Dec 23 10:54:27 WAT 2023","179","Transactional","Statistics","","","","Get your transactional email activity aggregated per day",""
"passed","Sat Dec 23 10:58:05 WAT 2023","Sat Dec 23 10:58:05 WAT 2023","154","Accounts and settings","Corporate","","","","Generate SSO token to access Sendinblue",""
"passed","Sat Dec 23 11:02:02 WAT 2023","Sat Dec 23 11:02:03 WAT 2023","473","Accounts and settings","Domains","","","","Validate domain configuration",""
"passed","Sat Dec 23 10:53:47 WAT 2023","Sat Dec 23 10:53:47 WAT 2023","197","Sales CRM","Tasks","","","","Get a task",""
"passed","Sat Dec 23 10:53:36 WAT 2023","Sat Dec 23 10:53:36 WAT 2023","186","Accounts and settings","Webhooks","","","","Delete a webhook",""
"failed","Sat Dec 23 10:53:28 WAT 2023","Sat Dec 23 10:53:29 WAT 2023","163","Marketing","SMS Campaigns","","","","Send a test SMS campaign",""
"failed","Sat Dec 23 10:57:55 WAT 2023","Sat Dec 23 10:57:55 WAT 2023","173","Contact management","Contacts","","","","Import contacts",""
"failed","Sat Dec 23 10:54:40 WAT 2023","Sat Dec 23 10:54:40 WAT 2023","189","Contact management","Attributes","","","","Create contact attribute",""
"failed","Sat Dec 23 10:56:28 WAT 2023","Sat Dec 23 10:56:29 WAT 2023","156","Transactional","Blocked Domains","","","","Get the list of blocked domains",""
"failed","Sat Dec 23 10:54:36 WAT 2023","Sat Dec 23 10:54:36 WAT 2023","167","Contact management","Contacts","","","","Export contacts",""
"failed","Sat Dec 23 10:53:27 WAT 2023","Sat Dec 23 10:53:27 WAT 2023","163","Marketing","SMS Campaigns","","","","Returns the information for all your created SMS campaigns",""
"failed","Sat Dec 23 10:57:47 WAT 2023","Sat Dec 23 10:57:47 WAT 2023","170","Marketing","Email Campaigns","","","","Get an email campaign report",""
"failed","Sat Dec 23 10:57:41 WAT 2023","Sat Dec 23 10:57:41 WAT 2023","481","Transactional","Email API","","","","Send a transactional email",""
"passed","Sat Dec 23 10:56:54 WAT 2023","Sat Dec 23 10:56:55 WAT 2023","150","Sales CRM","Deals","","","","Delete a deal",""
"failed","Sat Dec 23 10:57:42 WAT 2023","Sat Dec 23 10:57:42 WAT 2023","186","Transactional","Email API","","","","Delete scheduled emails by batchId or messageId",""
"failed","Sat Dec 23 10:53:24 WAT 2023","Sat Dec 23 10:53:24 WAT 2023","187","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"failed","Sat Dec 23 10:53:23 WAT 2023","Sat Dec 23 10:53:23 WAT 2023","204","Transactional","Blocked Domains","","","","Add a new domain to the list of blocked domains",""
"passed","Sat Dec 23 11:02:08 WAT 2023","Sat Dec 23 11:02:08 WAT 2023","154","Sales CRM","Files","","","","Download a file",""
"passed","Sat Dec 23 10:53:21 WAT 2023","Sat Dec 23 10:53:21 WAT 2023","166","Transactional","Templates","","","","Send a template to your test list",""
"passed","Sat Dec 23 10:56:57 WAT 2023","Sat Dec 23 10:56:57 WAT 2023","154","Sales CRM","Files","","","","Get file details",""
"passed","Sat Dec 23 10:54:37 WAT 2023","Sat Dec 23 10:54:37 WAT 2023","160","Contact management","Folders","","","","Delete a folder (and all its lists)",""
"failed","Sat Dec 23 11:01:53 WAT 2023","Sat Dec 23 11:01:53 WAT 2023","207","Contact management","Folders","","","","Get all folders",""
"passed","Sat Dec 23 10:56:30 WAT 2023","Sat Dec 23 10:56:30 WAT 2023","162","Transactional","Inbound Email Parsing","","","","Retrieve inbound attachment with download token.",""
"passed","Sat Dec 23 10:58:11 WAT 2023","Sat Dec 23 10:58:11 WAT 2023","200","Sales CRM","Tasks","","","","Get all tasks",""
"failed","Sat Dec 23 10:57:49 WAT 2023","Sat Dec 23 10:57:50 WAT 2023","443","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"passed","Sat Dec 23 10:56:34 WAT 2023","Sat Dec 23 10:56:34 WAT 2023","157","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
